name,email,password,company_name,country_name,country_code,phone_no,dob,hire_date,termission_date,role,location,position,invite,cost_per_hour

basheshwarnath kapoor,basheshwarnathkapoor@gmail.com,basheshwarnathkapoor,basheshwarnath co. ltd.,India,91,9800000000,1880 Jan 01,1896 Jan 01,1989 Jan 01,2,1,1,1,50

prithvi raj kapoor,prithvirajkapoor@gmail.com,prithvirajkapoor,prithvi co. ltd.,India,91,9800000001,1900 Jan 01,1916 Jan 01,1919 Jan 01,2,1,1,1,100

trilok kapoor,trilokkapoor@gmail.com,trilokkapoor,trilok co. ltd.,India,91,9800000002,1901 Jan 01,1917 Jan 01,1920 Jan 01,2,1,1,1,100

raj kapoor,rajkapoor@gmail.com,rajkapoor,RK Studio,India,91,9800000003,1920 Jan 01,1936 Jan 01,1939 Jan 01,2,1,1,1,150

shammi kapoor,shammikapoor@gmail.com,shammikapoor,shammi co. ltd.,India,91,9800000004,1921 Jan 01,1937 Jan 01,1940 Jan 01,2,1,1,1,150

shashi kapoor,shashikapoor@gmail.com,shashikapoor,shashi co. ltd.,India,91,9800000005,1922 Jan 01,1938 Jan 01,1941 Jan 01,2,1,1,1,150

randhir kapoor,randhirkapoor@gmail.com,randhirkapoor,randhir co. ltd.,India,91,9800000006,1940 Jan 01,1956 Jan 01,1959 Jan 01,2,1,1,1,200

rishi kapoor,rishikapoor@gmail.com,rishikapoor,rishi co. ltd.,India,91,9800000007,1941 Jan 01,1957 Jan 01,1960 Jan 01,2,1,1,1,200

rajiv kapoor,rajivkapoor@gmail.com,rajivkapoor,rajiv co. ltd.,India,91,9800000008,1942 Jan 01,1958 Jan 01,1961 Jan 01,2,1,1,1,200

aditya raj kapoor,adityarajkapoor@gmail.com,adityarajkapoor,aditya raj co. ltd.,India,91,9800000009,1943 Jan 01,1959 Jan 01,1961 Jan 01,2,1,1,1,200

kunal kapoor,kunalkapoor@gmail.com,kunalkapoor,kunal co. ltd.,India,91,9800000010,1944 Jan 01,1960 Jan 01,1962 Jan 01,2,1,1,1,200

karan kapoor,karankapoor@gmail.com,karankapoor,karan co. ltd.,India,91,9800000011,1945 Jan 01,1961 Jan 01,1963 Jan 01,2,1,1,1,200

ranbir kapoor,ranbirkapoor@gmail.com,ranbirkapoor,ranbir co. ltd.,India,91,9800000012,1961 Jan 01,1977 Jan 01,1980 Jan 01,2,1,1,1,250

